"the_geom","t_addl","street_nam","f_addl","x","t_zip","fullname","i_strno","z","speed","y","str_nam","id","mounttype","poletype"
"POINT (-122.2909640820914 37.850916069656435)","3,009","7TH","3,001","562,377.669184","94703","7TH","0","-18.841","25","4,189,510.89493","SEVENTH ST","42","Single Pole","SINGLE POLE"
"POINT (-122.29230555549199 37.85040811159676)","899","ASHBY","701","562,260.077705","94703","ASHBY","819","-23.517","35","4,189,453.64071","FOLGER AVE","43","Single Pole","SINGLE POLE"
"POINT (-122.29134081846601 37.85100260505516)","899","ASHBY","701","562,344.452061","94710","ASHBY","2,950","-21.389","35","4,189,520.24504","SEVENTH ST","44","Pole Mast","MASTARM POLE"
"POINT (-122.2912606413817 37.850834219233356)","899","ASHBY","701","562,351.647821","94710","ASHBY","840","-22.217","35","4,189,501.61547","ASHBY AVE","45","Single Pole","SINGLE POLE"
"POINT (-122.28928228370691 37.85173290657258)","0","ASHBY","0","562,524.938124","94710","ASHBY","1,001","-20.201","35","4,189,602.64937","ASHBY AVE","46","Single Pole","SINGLE POLE"
"POINT (-122.2523282755244 37.85124364918755)","2,723","ALCATRAZ, OA","2,701","565,776.422306","94705","ALCATRAZ","3,201","34.008","35","4,189,573.75548","COLLEGE AVE","47","Single Pole","SINGLE POLE"
"POINT (-122.25236058608198 37.851203734150886)","2,723","ALCATRAZ, OA","2,701","565,773.615259","94705","ALCATRAZ","3,201","34.194","35","4,189,569.30353","COLLEGE AVE","48","Single Pole","SINGLE POLE"
"POINT (-122.25235945295032 37.851358038352544)","2,723","ALCATRAZ, OA","2,701","565,773.578459","94705","ALCATRAZ","3,185","33.425","35","4,189,586.42527","COLLEGE AVE","49","Single Pole","SINGLE POLE"
"POINT (-122.28356210621556 37.85272400199825)","1,399","ASHBY","1,301","563,027.329169","94702","ASHBY","3,001","-16.223","35","4,189,716.45826","MABEL ST","50","Pole Mast","MASTARM POLE"
"POINT (-122.28363690597057 37.852821667157585)","1,399","ASHBY","1,301","563,020.665543","94702","ASHBY","1,303","-13.118","35","4,189,727.2444","ASHBY AVE","51","Single Pole","SINGLE POLE"
"POINT (-122.28944793267013 37.85150830027714)","3,099","9TH","3,001","562,510.554636","94710","9TH","3,014","-19.544","25","4,189,577.61766","NINTH ST","52","Single Pole","SINGLE POLE"
"POINT (-122.28924048819766 37.85154652416422)","3,099","9TH","3,001","562,528.772037","94710","9TH","1,000","-18.781","25","4,189,581.99824","ASHBY AVE","53","Pole Mast","MASTARM POLE"
"POINT (-122.29179721764386 37.85344013041402)","919","HEINZ","901","562,302.248293","94710","HEINZ","914","-20.328","25","4,189,790.38664","HEINZ AVE","54","Single Pole","SINGLE POLE"
"POINT (-122.27138822857532 37.84892878811081)","3,299","ADELINE","3,251","564,101.604473","94703","ADELINE","3,280","-4.561","35","4,189,303.662","ADELINE ST","55","Single Pole","SINGLE POLE"
"POINT (-122.27120122962572 37.84889444973093)","3,299","ADELINE","3,251","564,118.086267","94703","ADELINE","0","-1.335","35","4,189,299.98032","ALCATRAZ AVE","56","Pole Mast","MASTARM POLE"
"POINT (-122.29142253943752 37.85154356057627)","899","POTTER","801","562,336.807151","94710","POTTER","2,936","-16.152","25","4,189,580.20962","SEVENTH ST","57","Pole Mast","MASTARM POLE"
"POINT (-122.29133666357494 37.85137682414631)","2,999","7TH","2,951","562,344.50291","94710","7TH","2,950","-20.655","35","4,189,561.76804","SEVENTH ST","58","Pole Mast","MASTARM POLE"
"POINT (-122.27069855807046 37.8510175686979)","3,199","MARTIN LUTHER KING JR","3,125","564,160.47073","94703","MARTIN LUTHER KING JR","3,140","-0.572","25","4,189,535.88893","M L KING JR WAY","59","Single Pole","SINGLE POLE"
"POINT (-122.27085418532526 37.85104892682784)","3,199","MARTIN LUTHER KING JR","3,125","564,146.752666","94703","MARTIN LUTHER KING JR","3,140","2.324","25","4,189,539.26144","M L KING JR WAY","60","Pole Mast","MASTARM POLE"
"POINT (-122.2707705909355 37.851321540203564)","3,199","MARTIN LUTHER KING JR","3,125","564,153.870383","94703","MARTIN LUTHER KING JR","1,840","2.223","25","4,189,569.56537","WOOLSEY ST","61","Single Pole","SINGLE POLE"
"POINT (-122.27064948719249 37.85132988332263)","3,199","MARTIN LUTHER KING JR","3,125","564,164.517056","94703","MARTIN LUTHER KING JR","1,840","-1.807","25","4,189,570.57392","WOOLSEY ST","62","Pole Mast","MASTARM POLE"
"POINT (-122.27061866943842 37.85133868014639)","3,199","MARTIN LUTHER KING JR","3,125","564,167.220851","94703","MARTIN LUTHER KING JR","1,840","8.093","25","4,189,571.57147","WOOLSEY ST","63","Pole Mast","MASTARM POLE"
"POINT (-122.27051218792232 37.85126003151091)","3,199","ADELINE","3,101","564,176.656719","94703","ADELINE","3,175","0.402","35","4,189,562.91832","ADELINE ST","64","Single Pole","SINGLE POLE"
"POINT (-122.27891193183949 37.85339742468127)","2,999","SACRAMENTO","2,951","563,435.848658","94702","SACRAMENTO","2,979","-8.954","35","4,189,794.32568","SACRAMENTO ST","65","Pole Mast","MASTARM POLE"
"POINT (-122.27881527941096 37.853256890528435)","1,599","ASHBY","1,501","563,444.471749","94703","ASHBY","1,500","-10.064","35","4,189,778.79823","ASHBY AVE","66","Pole Mast","MASTARM POLE"
"POINT (-122.27884882438428 37.8533855079412)","1,599","ASHBY","1,501","563,441.410884","94702","ASHBY","2,979","-10.489","35","4,189,793.04602","SACRAMENTO ST","67","Single Pole","SINGLE POLE"
"POINT (-122.29197845895874 37.85338555002216)","899","HEINZ","701","562,286.349909","94710","HEINZ","2,910","-18.085","25","4,189,784.20999","SEVENTH ST","68","Pole Mast","MASTARM POLE"
"POINT (-122.29200668244901 37.853533859330305)","899","HEINZ","701","562,283.741636","94710","HEINZ","2,850","-18.939","25","4,189,800.64636","SEVENTH ST","69","Single Pole","SINGLE POLE"
"POINT (-122.28683918624778 37.85202673090794)","1,199","ASHBY","1,001","562,739.622051","94702","ASHBY","3,000","-16.542","35","4,189,636.88799","SAN PABLO AVE","70","Single Pole","SINGLE POLE"
"POINT (-122.28687354562882 37.85220707458154)","1,199","ASHBY","1,001","562,736.44552","94710","ASHBY","1,099","-16.707","35","4,189,656.87388","ASHBY AVE","71","Pole Mast","MASTARM POLE"
"POINT (-122.28684785236861 37.852261782622975)","1,199","ASHBY","1,001","562,738.659231","94710","ASHBY","1,099","-17.718","35","4,189,662.96129","ASHBY AVE","72","Single Pole","SINGLE POLE"
"POINT (-122.29098167579302 37.8511550757262)","999","ASHBY","901","562,375.919427","94710","ASHBY","901","-21.614","35","4,189,537.40166","ASHBY","73","Single Pole","SINGLE POLE"
"POINT (-122.29092393795072 37.850989461080836)","999","ASHBY","901","562,381.138721","94703","ASHBY","0","-21.315","35","4,189,519.06447","SEVENTH ST","74","Pole Mast","MASTARM POLE"
"POINT (-122.28953005217684 37.85167113442211)","999","ASHBY","901","562,503.192587","94710","ASHBY","931","-20.218","35","4,189,595.63001","ASHBY AVE","75","Pole Mast","MASTARM POLE"
"POINT (-122.28676797247265 37.852022061694186)","3,015","SAN PABLO","3,001","562,745.890719","94702","SAN PABLO","3,000","-16.004","35","4,189,636.4177","SAN PABLO AVE","76","Pole Mast","MASTARM POLE"
"POINT (-122.2743438865485 37.8537868894644)","3,049","KING","3,001","563,837.379596","94703","KING","1,654","-0.571","25","4,189,840.65045","ASHBY AVE","77","Single Pole","SINGLE POLE"
"POINT (-122.27429107192037 37.85379531644432)","3,049","KING","3,001","563,842.019066","94703","KING","1,654","0.297","25","4,189,841.62188","ASHBY AVE","78","Single Pole","SINGLE POLE"
"POINT (-122.27415356989033 37.85382613229869)","3,049","KING","3,001","563,854.088793","94703","KING","3,081","-1.158","25","4,189,845.13433","KING ST","79","Single Pole","SINGLE POLE"
"POINT (-122.26027569404442 37.852850041678124)","2,335","WOOLSEY","2,301","565,075.827058","94609","WOOLSEY","6,699","23.661","25","4,189,746.41791","TELEGRAPH AVE","80","Pole Mast","MASTARM POLE"
"POINT (-122.26031091556797 37.85287428602456)","2,335","WOOLSEY","2,301","565,072.706407","94609","WOOLSEY","6,699","23.289","25","4,189,749.08393","TELEGRAPH AVE","81","Single Pole","SINGLE POLE"
"POINT (-122.26030965783197 37.85299504429038)","2,335","WOOLSEY","2,301","565,072.711113","94705","WOOLSEY","3,120","23.188","25","4,189,762.48221","TELEGRAPH AVE","82","Single Pole","SINGLE POLE"
"POINT (-122.26027271303317 37.853031658899226)","2,335","WOOLSEY","2,301","565,075.929566","94705","WOOLSEY","3,120","24.897","25","4,189,766.57101","TELEGRAPH AVE","83","Single Pole","SINGLE POLE"
"POINT (-122.28386602719283 37.85277424038483)","1,299","ASHBY","1,201","563,000.549254","94702","ASHBY","2,936","-13.44","35","4,189,721.82734","MABEL ST","84","Pole Mast","MASTARM POLE"
"POINT (-122.28647150340537 37.85211111976639)","1,299","ASHBY","1,201","562,771.89632","94702","ASHBY","1,200","-16.783","35","4,189,646.49831","ASHBY AVE","85","Pole Mast","MASTARM POLE"
"POINT (-122.28382059560687 37.85266779872549)","1,299","ASHBY","1,201","563,004.637393","94702","ASHBY","3,000","-16.164","35","4,189,710.04833","MABEL ST","86","Single Pole","SINGLE POLE"
"POINT (-122.28652730492678 37.85223314536669)","1,299","ASHBY","1,201","562,766.88473","94702","ASHBY","2,995","-13.983","35","4,189,660.00021","SAN PABLO AVE","87","Single Pole","SINGLE POLE"
"POINT (-122.2743272576696 37.85381656845703)","1,699","ASHBY","1,601","563,838.816994","94703","ASHBY","1,654","-0.092","35","4,189,843.95486","ASHBY AVE","88","Single Pole","SINGLE POLE"
"POINT (-122.27438714869906 37.8539144476807)","1,699","ASHBY","1,601","563,833.463884","94703","ASHBY","2,998","-1.473","35","4,189,854.77385","KING ST","89","Pole Mast","MASTARM POLE"
"POINT (-122.27435571497487 37.853938588921714)","1,699","ASHBY","1,601","563,836.208057","94703","ASHBY","2,998","2.296","35","4,189,857.47371","KING ST","90","Pole Mast","MASTARM POLE"
"POINT (-122.27414090538767 37.8538521412961)","1,799","ASHBY","1,703","563,855.180096","94703","ASHBY","3,081","-2.152","35","4,189,848.02884","KING ST","91","Pole Mast","MASTARM POLE"
"POINT (-122.27412493312693 37.85386283944161)","1,799","ASHBY","1,703","563,856.576675","94703","ASHBY","3,081","-1.593","35","4,189,849.22695","KING ST","92","Pole Mast","MASTARM POLE"
"POINT (-122.2682228975137 37.85735411935778)","2,899","ADELINE","2,825","564,372.759981","94703","ADELINE","2,870","11.46","35","4,190,240.64326","ADELINE ST","93","Single Pole","SINGLE POLE"
"POINT (-122.26804721758296 37.85736811145336)","2,899","ADELINE","2,825","564,388.202189","94703","ADELINE","2,020","18.575","35","4,190,242.31663","OREGON ST","94","Single Pole","SINGLE POLE"
"POINT (-122.26778183203359 37.85744737055213)","2,099","OREGON","2,063","564,411.47928","94703","OREGON","2,020","7.87","25","4,190,251.29373","OREGON ST","95","Single Pole","SINGLE POLE"
"POINT (-122.2677735619086 37.85762974994865)","2,099","OREGON","2,063","564,412.048068","94703","OREGON","2,801","12.745","25","4,190,271.5348","ADELINE ST","96","Pole Mast","MASTARM POLE"
"POINT (-122.26340600370166 37.85577536589253)","2,999","FULTON","2,901","564,797.878643","94705","FULTON","2,201","18.394","25","4,190,068.81074","ASHBY AVE","97","Single Pole","SINGLE POLE"
"POINT (-122.25995916499711 37.853053152114725)","2,399","WOOLSEY","2,341","565,103.494062","94705","WOOLSEY","3,115","22.986","25","4,189,769.17395","TELEGRAPH AVE","98","Single Pole","SINGLE POLE"
"POINT (-122.26002598066297 37.85291277009265)","2,399","WOOLSEY","2,341","565,097.739959","94703","WOOLSEY","3,201","23.179","25","4,189,753.55198","TELEGRAPH AVE","99","Single Pole","SINGLE POLE"
"POINT (-122.25999367470502 37.85309584156608)","3,199","TELEGRAPH","3,101","565,100.421416","94705","TELEGRAPH","3,115","25.329","35","4,189,773.88642","TELEGRAPH AVE","100","Pole Mast","MASTARM POLE"
"POINT (-122.2524891297232 37.851357409646766)","3,199","COLLEGE","3,101","565,762.170276","94705","COLLEGE","3,170","35.112","35","4,189,586.26403","COLLEGE AVE","101","Pole Mast","MASTARM POLE"
"POINT (-122.24824047374003 37.854600763905374)","3,069","CLAREMONT","3,023","566,133.052553","94705","CLAREMONT","3,070","53.29","35","4,189,949.12015","CLAREMONT AVE","102","Single Pole","SINGLE POLE"
"POINT (-122.24804353008341 37.8545586687861)","3,069","CLAREMONT","3,023","566,150.416307","94705","CLAREMONT","5","49.046","35","4,189,944.58972","THE UPLANDS","103","Pole Mast","MASTARM POLE"
"POINT (-122.2665835641642 37.855192262269206)","3,015","SHATTUCK","3,001","564,518.855269","94705","SHATTUCK","3,000","20.974","25","4,190,001.91304","SHATTUCK AVE","104","Single Pole","SINGLE POLE"
"POINT (-122.2599761651951 37.85507720672734)","2,399","WEBSTER","2,325","565,100.219355","94705","WEBSTER","3,030","25.612","25","4,189,993.73486","TELEGRAPH AVE","105","Pole Mast","MASTARM POLE"
"POINT (-122.26002909098156 37.855105556951656)","2,399","WEBSTER","2,325","565,095.538084","94705","WEBSTER","3,030","25.881","25","4,189,996.84343","TELEGRAPH AVE","106","Single Pole","SINGLE POLE"
"POINT (-122.25995146632269 37.85525083170129)","2,399","WEBSTER","2,325","565,102.238678","94705","WEBSTER","3,000","25.937","25","4,190,013.0155","TELEGRAPH AVE","107","Single Pole","SINGLE POLE"
"POINT (-122.25999731447708 37.85521918791984)","2,399","WEBSTER","2,325","565,098.233013","94705","WEBSTER","3,000","26.391","25","4,190,009.47302","TELEGRAPH AVE","108","Single Pole","SINGLE POLE"
"POINT (-122.25966908841588 37.85515966994077)","2,419","WEBSTER","2,401","565,127.160261","94705","WEBSTER","0","27.77","25","4,190,003.09809","TELEGRAPH AVE","109","Single Pole","SINGLE POLE"
"POINT (-122.25973155244066 37.855133915233225)","2,419","WEBSTER","2,401","565,121.688211","94705","WEBSTER","0","27.862","25","4,190,000.19752","TELEGRAPH AVE","110","Single Pole","SINGLE POLE"
"POINT (-122.2596560239754 37.855292079743094)","2,419","WEBSTER","2,401","565,128.19355","94705","WEBSTER","3,021","28.257","25","4,190,017.79832","TELEGRAPH AVE","111","Single Pole","SINGLE POLE"
"POINT (-122.24818831132428 37.85435827416642)","3,099","CLAREMONT","3,071","566,137.858721","94705","CLAREMONT","2","46.246","35","4,189,922.25243","THE UPLANDS","112","Single Pole","SINGLE POLE"
"POINT (-122.24832613676207 37.854468028473974)","3,099","CLAREMONT","3,071","566,125.636294","94705","CLAREMONT","3,070","64.673","35","4,189,934.33286","CLAREMONT AVE","113","Pole Mast","MASTARM POLE"
"POINT (-122.24831660932887 37.85450402027529)","3,099","CLAREMONT","3,071","566,126.441642","94705","CLAREMONT","3,070","59.607","35","4,189,938.33276","CLAREMONT AVE","114","Single Pole","SINGLE POLE"
"POINT (-122.26666173448962 37.8553380322957)","2,099","ASHBY","2,041","564,511.851497","94705","ASHBY","2,996","16.304","35","4,190,018.03244","SHATTUCK AVE","115","Single Pole","SINGLE POLE"
"POINT (-122.26638837687312 37.8552554807513)","2,119","ASHBY","2,101","564,535.970426","94705","ASHBY","3,001","14.234","35","4,190,009.0623","SHATTUCK AVE","116","Pole Mast","MASTARM POLE"
"POINT (-122.26359966598437 37.85560656530536)","2,199","ASHBY","2,151","564,780.990823","94705","ASHBY","2,180","21.801","35","4,190,049.94771","ASHBY AVE","117","Single Pole","SINGLE POLE"
"POINT (-122.2636123348822 37.85574506160381)","2,199","ASHBY","2,151","564,779.755031","94705","ASHBY","2,185","20.24","35","4,190,065.30461","ASHBY AVE","118","Single Pole","SINGLE POLE"
"POINT (-122.29345916098849 37.85855963785532)","2,599","7TH","2,541","562,151.742986","94710","7TH","927","-18.853","35","4,190,357.29603","PARKER ST","119","Pole Mast","MASTARM POLE"
"POINT (-122.29365342169599 37.85854855927912)","2,599","7TH","2,541","562,134.663749","94710","7TH","2,530","-17.98","35","4,190,355.93737","SEVENTH ST","120","Single Pole","SINGLE POLE"
"POINT (-122.26342349163566 37.855621227903455)","3,099","FULTON","3,001","564,796.475842","94705","FULTON","3,001","17.389","25","4,190,051.69652","FULTON ST","121","Single Pole","SINGLE POLE"
"POINT (-122.2437527538808 37.857925002706)","29","DOMINGO","1","566,524.860744","94705","DOMINGO","2","67.764","25","4,190,321.13889","TUNNEL RD","122","Single Pole","SINGLE POLE"
"POINT (-122.24395586858915 37.858002609580616)","29","DOMINGO","1","566,506.922876","94705","DOMINGO","3,048","69.472","25","4,190,329.60513","ASHBY AVE","123","Single Pole","SINGLE POLE"
"POINT (-122.25930162701036 37.85763734318194)","2,421","RUSSELL","2,401","565,157.30524","94705","RUSSELL","2,905","30.187","25","4,190,278.25613","TELEGRAPH AVE","124","Single Pole","SINGLE POLE"
"POINT (-122.25934902405764 37.85759524990993)","2,421","RUSSELL","2,401","565,153.173457","94705","RUSSELL","2,905","29.835","25","4,190,273.5531","TELEGRAPH AVE","125","Single Pole","SINGLE POLE"
"POINT (-122.2593089875863 37.85774628371548)","2,421","RUSSELL","2,401","565,156.561891","94705","RUSSELL","2,855","32.943","25","4,190,290.33807","TELEGRAPH AVE","126","Single Pole","SINGLE POLE"
"POINT (-122.25970679731797 37.85530196619929)","3,029","TELEGRAPH","3,001","565,123.718541","94705","TELEGRAPH","3,021","28.789","35","4,190,018.86022","TELEGRAPH AVE","127","Pole Mast","MASTARM POLE"
"POINT (-122.25959510380886 37.856098326350214)","3,029","TELEGRAPH","3,001","565,132.843332","94705","TELEGRAPH","3,001","30.207","35","4,190,107.2956","TELEGRAPH AVE","128","Single Pole","SINGLE POLE"
"POINT (-122.2598194664416 37.8560442370981)","3,029","TELEGRAPH","3,001","565,113.152985","94705","TELEGRAPH","3,000","26.345","35","4,190,101.13771","TELEGRAPH AVE","129","Single Pole","SINGLE POLE"
"POINT (-122.27137814257574 37.8560083587344)","2,999","MARTIN LUTHER KING J","2,901","564,096.362326","94703","MARTIN LUTHER KING J","2,900","2.759","35","4,190,089.15803","M L KING JR WAY","130","Pole Mast","MASTARM POLE"
"POINT (-122.27117572647744 37.856063595514954)","2,999","MARTIN LUTHER KING J","2,901","564,114.120587","94703","MARTIN LUTHER KING J","1,902","4.514","35","4,190,095.42598","RUSSELL ST","131","Single Pole","SINGLE POLE"
"POINT (-122.25964545051038 37.85758793175183)","2,399","RUSSELL","2,301","565,127.103347","94705","RUSSELL","2,900","25.751","25","4,190,272.53409","TELEGRAPH AVE","132","Single Pole","SINGLE POLE"
"POINT (-122.2596141402015 37.857559664103285)","2,399","RUSSELL","2,301","565,129.882513","94705","RUSSELL","2,900","26.965","25","4,190,269.42044","TELEGRAPH AVE","133","Single Pole","SINGLE POLE"
"POINT (-122.25964011553286 37.85770397935218)","2,399","RUSSELL","2,301","565,127.470107","94705","RUSSELL","2,850","28.794","25","4,190,285.41376","TELEGRAPH AVE","134","Single Pole","SINGLE POLE"
"POINT (-122.25960351825468 37.85773785506381)","2,399","RUSSELL","2,301","565,130.659951","94705","RUSSELL","2,850","28.916","25","4,190,289.19723","TELEGRAPH AVE","135","Single Pole","SINGLE POLE"
"POINT (-122.29243979293454 37.85540721715818)","2,799","7TH","2,741","562,244.065156","94710","7TH","901","-18.523","35","4,190,008.20951","GRAYSON ST","136","Pole Mast","MASTARM POLE"
"POINT (-122.29258628178584 37.85536262788955)","2,799","7TH","2,741","562,231.215756","94710","7TH","801","-17.724","35","4,190,003.16452","GRAYSON ST","137","Single Pole","SINGLE POLE"
"POINT (-122.28810417683265 37.85611225712744)","1,099","GRAYSON","1,025","562,624.877119","94702","GRAYSON","2,802","-16.596","25","4,190,089.33421","SAN PABLO AVE","138","Pole Mast","MASTARM POLE"
"POINT (-122.28815835638672 37.85612054221107)","1,099","GRAYSON","1,025","562,620.103884","94702","GRAYSON","2,802","-17.4","25","4,190,090.21654","SAN PABLO AVE","139","Single Pole","SINGLE POLE"
"POINT (-122.28815562522485 37.85626033364034)","1,099","GRAYSON","1,025","562,620.225775","94702","GRAYSON","2,748","-15.521","25","4,190,105.72939","SAN PABLO AVE","140","Single Pole","SINGLE POLE"
"POINT (-122.27141458751045 37.85605377062096)","1,899","RUSSELL","1,831","564,093.116482","94703","RUSSELL","2,900","5.393","25","4,190,094.17132","M L KING JR WAY","141","Single Pole","SINGLE POLE"
"POINT (-122.27139831865202 37.85620110722055)","1,899","RUSSELL","1,831","564,094.420179","94703","RUSSELL","2,828","3.286","25","4,190,110.5301","M L KING JR WAY","142","Single Pole","SINGLE POLE"
"POINT (-122.27143396837987 37.856161012931395)","1,899","RUSSELL","1,831","564,091.31876","94703","RUSSELL","2,828","6.123","25","4,190,106.05646","M L KING JR WAY","143","Single Pole","SINGLE POLE"
"POINT (-122.27116329738247 37.85620582117536)","1,923","RUSSELL","1,901","564,115.090871","94703","RUSSELL","1,901","4.203","25","4,190,111.21406","RUSSELL ST","144","Single Pole","SINGLE POLE"
"POINT (-122.27118507515 37.85609187379425)","1,923","RUSSELL","1,901","564,113.274448","94703","RUSSELL","1,902","4.79","25","4,190,098.55728","RUSSELL ST","145","Single Pole","SINGLE POLE"
"POINT (-122.28015419077282 37.85787298722005)","1,499","WARD","1,447","563,322.733866","94702","WARD","2,738","-5.673","25","4,190,290.0526","SACRAMENTO ST","146","Single Pole","SINGLE POLE"
"POINT (-122.28019950680076 37.85784426511413)","1,499","WARD","1,447","563,318.771715","94702","WARD","2,738","-5.432","25","4,190,286.83533","SACRAMENTO ST","147","Single Pole","SINGLE POLE"
"POINT (-122.2801652980769 37.85773658928105)","1,499","WARD","1,447","563,321.873231","94702","WARD","1,450","-6.011","25","4,190,274.91127","WARD ST","148","Single Pole","SINGLE POLE"
"POINT (-122.28011830143532 37.857704118550586)","1,499","WARD","1,447","563,326.035525","94702","WARD","1,450","-6.301","25","4,190,271.34055","WARD ST","149","Pole Mast","MASTARM POLE"
"POINT (-122.27996651075573 37.85774605688092)","2,799","SACRAMENTO","2,731","563,339.352364","94702","SACRAMENTO","1,450","-6.017","35","4,190,276.09684","WARD ST","150","Single Pole","SINGLE POLE"
"POINT (-122.27154638784194 37.85965497493506)","2,723","MARTIN LUTHER KING J","2,701","564,078.404206","94703","MARTIN LUTHER KING J","2,701","6.285","35","4,190,493.64095","M L KING JR WAY","151","Single Pole","SINGLE POLE"
"POINT (-122.259405456111 37.85946351201109)","2,399","STUART","2,301","565,146.56406","94705","STUART","2,800","32.255","25","4,190,480.80036","TELEGRAPH AVE","152","Single Pole","SINGLE POLE"
"POINT (-122.25941083319812 37.85957688971308)","2,399","STUART","2,301","565,145.991881","94705","STUART","2,744","32.702","25","4,190,493.37632","TELEGRAPH AVE","153","Single Pole","SINGLE POLE"
"POINT (-122.2593518701884 37.85963012051777)","2,399","STUART","2,301","565,151.131517","94705","STUART","2,744","32.425","25","4,190,499.32343","TELEGRAPH AVE","154","Single Pole","SINGLE POLE"
"POINT (-122.27092524308895 37.854162175532295)","3,099","MARTIN LUTHER KING J","3,001","564,137.802889","94703","MARTIN LUTHER KING J","0","0.656","25","4,189,884.63248","ADELINE ST","155","Pole Mast","MASTARM POLE"
"POINT (-122.27124828228717 37.85412865885518)","3,099","MARTIN LUTHER KING J","3,001","564,109.414101","94703","MARTIN LUTHER KING J","0","4.34","25","4,189,880.69152","ASHBY AVE","156","Single Pole","SINGLE POLE"
"POINT (-122.2693182386278 37.85476702049498)","2,969","ADELINE","2,901","564,278.65068","94703","ADELINE","2,982","3.984","35","4,189,952.84563","ADELINE ST","157","Single Pole","SINGLE POLE"
"POINT (-122.26930354221264 37.854664957790355)","2,969","ADELINE","2,901","564,280.031613","94703","ADELINE","2,990","4.862","35","4,189,941.53203","ADELINE ST","158","Pole Mast","MASTARM POLE"
"POINT (-122.26646550228507 37.85541225640267)","2,999","SHATTUCK","2,901","564,529.049398","94705","SHATTUCK","2,999","17.414","25","4,190,026.40399","SHATTUCK AVE","159","Single Pole","SINGLE POLE"
"POINT (-122.29369103903751 37.85849412051311)","899","PARKER","749","562,131.400116","94710","PARKER","2,530","-14.398","25","4,190,349.87213","SEVENTH ST","160","Pole Mast","MASTARM POLE"
"POINT (-122.29356608616187 37.858310440533515)","2,699","7TH","2,601","562,142.545863","94710","7TH","2,600","-17.926","35","4,190,329.57573","SEVENTH ST","161","Pole Mast","MASTARM POLE"
"POINT (-122.29339258270821 37.858352821122416)","2,699","7TH","2,601","562,157.77354","94710","7TH","910","-19.761","35","4,190,334.39337","PARKER ST","162","Single Pole","SINGLE POLE"
"POINT (-122.2711994783539 37.85624270975912)","2,899","MARTIN LUTHER KING J","2,825","564,111.876155","94703","MARTIN LUTHER KING J","1,901","1.645","35","4,190,115.28221","RUSSELL ST","163","Pole Mast","MASTARM POLE"
"POINT (-122.26843327511878 37.857314337558954)","2,059","OREGON","2,001","564,354.288549","94703","OREGON","2,870","14.266","25","4,190,236.08456","ADELINE ST","164","Pole Mast","MASTARM POLE"
"POINT (-122.26842165449388 37.857494741289045)","2,059","OREGON","2,001","564,355.153017","94703","OREGON","2,820","6.915","25","4,190,256.10824","ADELINE ST","165","Single Pole","SINGLE POLE"
"POINT (-122.27981173483977 37.857765786894824)","1,599","WARD","1,501","563,352.950344","94703","WARD","1,500","-9.463","25","4,190,278.39093","WARD ST","166","Single Pole","SINGLE POLE"
"POINT (-122.27978292885479 37.857800502499984)","1,599","WARD","1,501","563,355.455002","94703","WARD","1,500","-9.073","25","4,190,282.26161","WARD ST","167","Single Pole","SINGLE POLE"
"POINT (-122.2798476892346 37.85793105448004)","1,599","WARD","1,501","563,349.646428","94703","WARD","1,500","-6.303","25","4,190,296.7035","DERBY ST","168","Pole Mast","MASTARM POLE"
"POINT (-122.27979672610621 37.857914503255)","1,599","WARD","1,501","563,354.143461","94703","WARD","1,500","-6.472","25","4,190,294.90073","DERBY ST","169","Single Pole","SINGLE POLE"
"POINT (-122.26799758587619 37.857627484516605)","2,823","ADELINE","2,801","564,392.343313","94703","ADELINE","2,801","13.767","35","4,190,271.1295","ADELINE ST","170","Single Pole","SINGLE POLE"
"POINT (-122.26815297504878 37.85756773929913)","2,823","ADELINE","2,801","564,378.724964","94703","ADELINE","2,820","7","35","4,190,264.39296","ADELINE ST","171","Single Pole","SINGLE POLE"
"POINT (-122.29335373857408 37.858402860422345)","939","PARKER","901","562,161.148175","94710","PARKER","910","-20.403","25","4,190,339.97124","PARKER ST","172","Single Pole","SINGLE POLE"
"POINT (-122.2529711784101 37.85715233805421)","2,959","COLLEGE","2,901","565,714.616859","94705","COLLEGE","2,959","39.61","35","4,190,228.8818","COLLEGE AVE","173","Single Pole","SINGLE POLE"
"POINT (-122.28000645964526 37.857919436158184)","2,725","SACRAMENTO","2,701","563,335.689666","94702","SACRAMENTO","2,738","-6.226","35","4,190,295.30651","SACRAMENTO ST","174","Single Pole","SINGLE POLE"
"POINT (-122.25933277935366 37.85779589814372)","2,899","TELEGRAPH","2,851","565,154.425442","94705","TELEGRAPH","2,855","32.701","35","4,190,295.82689","TELEGRAPH AVE","175","Pole Mast","MASTARM POLE"
"POINT (-122.24397522437086 37.85819403854877)","2,969","DOMINGO","2,901","566,505.048684","94705","DOMINGO","2,942","79.08","25","4,190,350.83085","DOMINGO AVE","176","Single Pole","SINGLE POLE"
"POINT (-122.24367479647957 37.858188531936634)","2,969","DOMINGO","2,901","566,531.480992","94705","DOMINGO","1","80.692","25","4,190,350.43357","TUNNEL RD","177","Single Pole","SINGLE POLE"
"POINT (-122.24380731619956 37.858214346178954)","2,969","DOMINGO","2,901","566,519.800263","94705","DOMINGO","1","74.031","25","4,190,353.20391","TUNNEL RD","178","Single Pole","SINGLE POLE"
