"the_geom","t_addl","street_nam","f_addl","x","t_zip","fullname","i_strno","z","speed","y","str_nam","id","mounttype","poletype"
"POINT (-122.27684885041101 37.8889786260132)","1,899","MARIN","1,835","563,586.755533","94707","MARIN","964","42.017","35","4,193,743.52913","THE ALAMEDA","813","Pole Mast","MASTARM POLE"
"POINT (-122.30857320317429 37.88722731727441)","0","I580","0","560,798.635877","94710","I580","1,100","-25.016","60","4,193,528.06859","EASTSHORE HWY","814","Single Pole","SINGLE POLE"
"POINT (-122.30961230772441 37.88782449350868)","0","","0","560,706.773303","94710","","1,100","-29.25","20","4,193,593.6491","EASTSHORE HWY","815","Pole Mast","MASTARM POLE"
"POINT (-122.30810301641662 37.88755097788268)","0","","0","560,839.713984","94710","","1,100","-22.213","20","4,193,564.28582","EASTSHORE HWY","816","Pole Mast","MASTARM POLE"
"POINT (-122.29355461151253 37.89069023113676)","899","MASONIC, AL","801","562,116.359534","94707","MASONIC, AL","1,519","-9.636","25","4,193,922.17946","SOLANO AVE","817","Single Pole","SINGLE POLE"
"POINT (-122.30834332117723 37.887502260264085)","0","I580","0","560,818.623804","94710","I580","1,100","-21.601","20","4,193,558.72356","EASTSHORE HWY","818","Single Pole","SINGLE POLE"
"POINT (-122.27233135670306 37.889044691522166)","1,099","FOUNTAIN","1,001","563,983.927012","94707","FOUNTAIN","0","43.548","25","4,193,753.94742","HOPKINS ST","819","Single Pole","SINGLE POLE"
"POINT (-122.27246318813228 37.88895408863968)","1,099","FOUNTAIN","1,001","563,972.413435","94707","FOUNTAIN","1,995","44.035","25","4,193,743.80474","EL DORADO AVE","820","Single Pole","SINGLE POLE"
"POINT (-122.27893588999692 37.88943174284435)","0","MARIN","0","563,402.850903","94707","","1,760","34.681","35","4,193,792.38217","MARIN AVE","821","Single Pole","SINGLE POLE"
"POINT (-122.2806195858463 37.893186019040726)","1,799","TACOMA","1,701","563,251.590614","94707","TACOMA","830","25.943","25","4,194,207.7848","COLUSA AVE","822","Single Pole","SINGLE POLE"
"POINT (-122.28052970700494 37.893115799190234)","1,799","TACOMA","1,701","563,259.552636","94707","TACOMA","1,780","26.263","25","4,194,200.05468","TACOMA AVE","823","Single Pole","SINGLE POLE"
"POINT (-122.2803283536053 37.893187252735196)","859","COLUSA","841","563,277.19632","94707","COLUSA","849","19.449","35","4,194,208.11879","COLUSA AVE","824","Single Pole","SINGLE POLE"
"POINT (-122.28045700227906 37.893112596836616)","859","COLUSA","841","563,265.948498","94707","COLUSA","1,780","19.892","35","4,194,199.74894","TACOMA AVE","825","Pole Mast","MASTARM POLE"
"POINT (-122.28888170440564 37.89089097943493)","1,441","SOLANO, AL","1,415","562,527.073908","94707","SOLANO, AL","1,519","4.898","35","4,193,947.57495","SOLANO AVE","826","Pole Mast","MASTARM POLE"
"POINT (-122.28886983758801 37.89074618858311)","1,441","SOLANO, AL","1,415","562,528.240087","94707","SOLANO, AL","1,519","3.288","35","4,193,931.51814","SOLANO AVE","827","Single Pole","SINGLE POLE"
"POINT (-122.28806145989047 37.88884586750232)","999","SANTA FE, AL","901","562,600.929289","94707","SANTA FE, AL","1,519","-0.782","25","4,193,721.21577","SOLANO AVE","828","Single Pole","SINGLE POLE"
"POINT (-122.28864528843752 37.89089748412512)","1,499","SOLANO, AL","1,471","562,547.856558","94707","SOLANO, AL","1,519","6.793","35","4,193,948.45574","SOLANO AVE","829","Single Pole","SINGLE POLE"
"POINT (-122.28864381870817 37.890781573013875)","1,499","SOLANO, AL","1,471","562,548.083889","94707","SOLANO, AL","1,519","6.226","35","4,193,935.59515","SOLANO AVE","830","Pole Mast","MASTARM POLE"
"POINT (-122.27697405945027 37.891361614810116)","1,929","SOLANO","1,901","563,573.696456","94707","SOLANO","917","38.082","25","4,194,007.84065","THE ALAMEDA","831","Single Pole","SINGLE POLE"
"POINT (-122.27729349635486 37.89155591421917)","1,899","SOLANO","1,871","563,545.441584","94707","SOLANO","898","45.707","35","4,194,029.18102","THE ALAMEDA","832","Single Pole","SINGLE POLE"
"POINT (-122.29877265081643 37.89025272609047)","1,119","SOLANO, AL","1,101","561,657.906669","94710","SOLANO, AL","1,172","-18.2","35","4,193,870.17622","SAN PABLO AVE","833","Pole Mast","MASTARM POLE"
"POINT (-122.29971543410757 37.89221118434204)","1,099","WASHINGTON, AL","1,041","561,573.376286","94710","WASHINGTON, AL","1,172","-16.56","25","4,194,086.8476","SAN PABLO AVE","834","Pole Mast","MASTARM POLE"
"POINT (-122.29978279216242 37.89237530615162)","1,099","WASHINGTON, AL","1,041","561,567.317687","94710","WASHINGTON, AL","1,172","-16.777","25","4,194,105.01372","SAN PABLO AVE","835","Single Pole","SINGLE POLE"
"POINT (-122.27874062471746 37.889355753982784)","1,011","COLUSA","1,001","563,420.08631","94707","COLUSA","1,800","27.111","25","4,193,784.08476","MARIN AVE","836","Pole Mast","MASTARM POLE"
"POINT (-122.27997052383782 37.891245686294056)","1,799","SOLANO","1,791","563,310.321735","94707","SOLANO","1,800","31.865","35","4,193,992.9412","SOLANO AVE","837","Single Pole","SINGLE POLE"
"POINT (-122.27900664865913 37.88970339222408)","999","COLUSA","901","563,396.395984","94707","COLUSA","1,761","29.892","25","4,193,822.47424","MARIN AVE","838","Single Pole","SINGLE POLE"
"POINT (-122.27881728111143 37.88966545779596)","999","COLUSA","901","563,413.079896","94707","COLUSA","1,801","28.401","25","4,193,818.39453","MARIN AVE","839","Single Pole","SINGLE POLE"
"POINT (-122.27717308937228 37.891348601292805)","941","THE ALAMEDA","901","563,556.207246","94707","THE ALAMEDA","908","46.941","35","4,194,006.26154","THE ALAMEDA","840","Single Pole","SINGLE POLE"
"POINT (-122.27701019276353 37.89152471767372)","0","THE ALAMEDA","0","563,570.379341","94707","","899","39.675","25","4,194,025.91345","THE ALAMEDA","841","Single Pole","SINGLE POLE"
"POINT (-122.27998799883302 37.891430826923816)","899","COLUSA","877","563,308.626195","94707","COLUSA","1,797","28.261","35","4,194,013.47103","SOLANO AVE","842","Pole Mast","MASTARM POLE"
"POINT (-122.27975985856982 37.89144856198983)","899","COLUSA","877","563,328.670976","94707","COLUSA","1,801","28.509","35","4,194,015.59307","SOLANO AVE","843","Single Pole","SINGLE POLE"
"POINT (-122.29920886388504 37.89029020827098)","1,099","SOLANO, AL","1,037","561,619.518761","94710","SOLANO, AL","1,172","-17.178","35","4,193,874.04648","SAN PABLO AVE","844","Pole Mast","MASTARM POLE"
"POINT (-122.29914403530131 37.89037844526066)","1,099","SOLANO, AL","1,037","561,625.146563","94710","SOLANO, AL","1,172","-17.94","35","4,193,883.87972","SAN PABLO AVE","845","Single Pole","SINGLE POLE"
"POINT (-122.29911861662355 37.89015693616014)","1,099","SOLANO, AL","1,037","561,627.5655","94710","SOLANO, AL","1,172","-18.229","35","4,193,859.31951","SAN PABLO AVE","846","Single Pole","SINGLE POLE"
"POINT (-122.29903438901876 37.89011700859171)","999","SAN PABLO, AL","901","561,635.005113","94710","SAN PABLO, AL","1,172","-16.857","35","4,193,854.94484","SAN PABLO AVE","847","Pole Mast","MASTARM POLE"
"POINT (-122.2987829128671 37.89018517333835)","999","SAN PABLO, AL","901","561,657.060855","94710","SAN PABLO, AL","1,172","-16.46","35","4,193,862.67352","SAN PABLO AVE","848","Single Pole","SINGLE POLE"
"POINT (-122.29804222853275 37.88800175618032)","999","SAN PABLO, AL","901","561,724.011468","94710","SAN PABLO, AL","1,172","-16.94","35","4,193,620.90951","SAN PABLO AVE","849","Pole Mast","MASTARM POLE"
"POINT (-122.28031124932221 37.89324135797526)","1,847","TACOMA","1,801","563,278.653539","94707","TACOMA","849","26.717","25","4,194,214.13401","COLUSA AVE","850","Single Pole","SINGLE POLE"
"POINT (-122.28040390413754 37.89330610340884)","1,847","TACOMA","1,801","563,270.451767","94707","TACOMA","1,805","27.923","25","4,194,221.25421","TACOMA AVE","851","Single Pole","SINGLE POLE"
"POINT (-122.27784647861644 37.89494569372216)","739","THE ALAMEDA","721","563,493.907382","94707","THE ALAMEDA","730","35.611","25","4,194,404.90817","THE ALAMEDA","852","Single Pole","SINGLE POLE"
"POINT (-122.27769789235332 37.89497702923111)","739","THE ALAMEDA","721","563,506.945107","94707","THE ALAMEDA","727","38.083","25","4,194,408.48658","THE ALAMEDA","853","Single Pole","SINGLE POLE"
"POINT (-122.30018981873184 37.88782598853552)","999","MADISON, AL","901","561,535.315188","94710","MADISON, AL","1,101","-20.582","25","4,193,599.98875","EIGHTH ST","854","Pole Mast","MASTARM POLE"
"POINT (-122.29372349709023 37.890648488283574)","1,251","SOLANO, AL","1,241","562,101.544243","94707","SOLANO, AL","1,519","-9.155","35","4,193,917.43588","SOLANO AVE","855","Pole Mast","MASTARM POLE"
"POINT (-122.29363563663196 37.890478631263434)","1,251","SOLANO, AL","1,241","562,109.412405","94707","SOLANO, AL","1,519","-13.788","35","4,193,898.64805","SOLANO AVE","856","Single Pole","SINGLE POLE"
"POINT (-122.29261507194833 37.887862994211886)","999","MASONIC, AL","901","562,201.351075","94706","MASONIC, AL","1,201","-10.659","25","4,193,609.11732","EVELYN AVE","857","Single Pole","SINGLE POLE"
"POINT (-122.29277965189026 37.88784441338752)","999","MASONIC, AL","901","562,186.894761","94706","MASONIC, AL","1,201","-11.208","25","4,193,606.94722","EVELYN AVE","858","Single Pole","SINGLE POLE"
"POINT (-122.29346606346641 37.890492157692066)","999","MASONIC, AL","901","562,124.312103","94707","MASONIC, AL","1,519","-8.007","25","4,193,900.26215","SOLANO AVE","859","Pole Mast","MASTARM POLE"
"POINT (-122.2995347116239 37.89248081776568)","749","SAN PABLO, AL","701","561,589.042741","94710","SAN PABLO, AL","1,172","-17.766","35","4,194,116.88404","SAN PABLO AVE","860","Pole Mast","MASTARM POLE"
"POINT (-122.29886707542074 37.890429461020126)","899","SAN PABLO, AL","801","561,649.456099","94710","SAN PABLO, AL","1,172","-18.713","35","4,193,889.72237","SAN PABLO AVE","861","Pole Mast","MASTARM POLE"
"POINT (-122.2994904693579 37.892315296685894)","799","SAN PABLO, AL","751","561,593.070541","94710","SAN PABLO, AL","1,172","-16.88","35","4,194,098.54846","SAN PABLO AVE","862","Single Pole","SINGLE POLE"
"POINT (-122.3078848281523 37.89321301375617)","0","I80 WEST (OFF RAMP) 580 E","0","560,854.239233","94710","I80 West (OFF RAMP) 580 E","1,100","-17.692","20","4,194,192.64288","EASTSHORE HWY","863","Single Pole","SINGLE POLE"
"POINT (-122.30990166787505 37.88808456149427)","0","BUCHANAN, AL","0","560,681.115715","94710","BUCHANAN, AL","1,100","-26.324","25","4,193,622.31612","EASTSHORE HWY","864","Single Pole","SINGLE POLE"
"POINT (-122.30986560969285 37.8880253173447)","0","BUCHANAN, AL","0","560,684.335171","94710","BUCHANAN, AL","1,100","-25.7","25","4,193,615.76678","EASTSHORE HWY","865","Single Pole","SINGLE POLE"
"POINT (-122.30091104533447 37.89596404097284)","1,099","CLAY, AL","1,041","561,465.128891","94707","CLAY, AL","0","-17.12","25","4,194,502.44688","NEILSON ST","866","Pole Mast","MASTARM POLE"
"POINT (-122.30098157392194 37.89610743046287)","1,099","CLAY, AL","1,041","561,458.809346","94707","CLAY, AL","654","-20.945","25","4,194,518.30984","NEILSON ST","867","Single Pole","SINGLE POLE"
"POINT (-122.30066275462977 37.89604737648696)","599","SAN PABLO, AL","551","561,486.890805","94707","SAN PABLO, AL","0","-21.319","35","4,194,511.85728","NEILSON ST","868","Single Pole","SINGLE POLE"
"POINT (-122.30064021074031 37.89600616988833)","599","SAN PABLO, AL","551","561,488.906865","94707","SAN PABLO, AL","0","-20.432","35","4,194,507.2998","NEILSON ST","869","Single Pole","SINGLE POLE"
"POINT (-122.30070772440048 37.8961802602699)","549","SAN PABLO, AL","501","561,482.826388","94707","SAN PABLO, AL","634","-23.502","35","4,194,526.57096","NEILSON ST","870","Pole Mast","MASTARM POLE"
"POINT (-122.30112070319052 37.89662946771183)","549","SAN PABLO, AL","501","561,446.142679","94707","SAN PABLO, AL","618","-27.765","35","4,194,576.13964","NEILSON ST","871","Pole Mast","MASTARM POLE"
"POINT (-122.30117378689718 37.89678714438038)","499","SAN PABLO, AL","401","561,441.343823","94707","SAN PABLO, AL","618","-24.6","35","4,194,593.59961","NEILSON ST","872","Single Pole","SINGLE POLE"
"POINT (-122.30094095079612 37.89691483723063)","499","SAN PABLO, AL","401","561,461.709368","94707","SAN PABLO, AL","604","-27.991","35","4,194,607.9205","NEILSON ST","873","Pole Mast","MASTARM POLE"
