X,Y,OBJECTID,DISTRICT,RTE,RTE_SFX,CNTY,PM_PFX,PM,PM_SFX,DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
5076720.81527147,4025784.71218589,5405,3,51,,SAC,,4.743,,"SACRAMENTO, EL CAMINO AVENUE",18200,211000,181000,18200,192000,181000
5076627.0569288,4025791.94281448,5406,3,51,,SAC,,4.743,,"SACRAMENTO, EL CAMINO AVENUE",18200,211000,181000,18200,192000,181000
5078891.4756283,4028904.43166822,5407,3,51,,SAC,,5.498,,"SACRAMENTO, MARCONI AVENUE",18200,192000,181000,15200,163000,153000
5078843.00984597,4028937.4913134,5408,3,51,,SAC,,5.498,,"SACRAMENTO, MARCONI AVENUE",18200,192000,181000,15200,163000,153000
5080253.96929438,4030626.28878881,5409,3,51,,SAC,,5.963,,"SACRAMENTO, HOWE AVENUE CONNECTION",10700,145000,138000,10700,145000,140000
5080232.22524339,4030668.26278622,5410,3,51,,SAC,,5.963,,"SACRAMENTO, HOWE AVENUE CONNECTION",10700,145000,138000,10700,145000,140000
5081535.32762405,4031227.41882014,5411,3,51,,SAC,,6.213,,"SACRAMENTO, BELL STREET CONNECTION",10700,145000,140000,10400,137000,132000
5081527.81353147,4031276.46038872,5412,3,51,,SAC,,6.213,,"SACRAMENTO, BELL STREET CONNECTION",10700,145000,140000,10400,137000,132000
5084264.06133981,4032565.41286331,5413,3,51,,SAC,,6.788,,"SACRAMENTO, FULTON AVENUE",10400,137000,132000,11500,150000,147000
5084266.72504839,4032617.9504879,5414,3,51,,SAC,,6.788,,"SACRAMENTO, FULTON AVENUE",10400,137000,132000,11500,150000,147000
5088683.08826289,4034558.63295823,5415,3,51,,SAC,,7.701,,"SACRAMENTO, AUBURN BOULEVARD",10200,137000,134000,9400,127000,124000
5088622.61594288,4034573.9564184,5416,3,51,,SAC,,7.701,,"SACRAMENTO, AUBURN BOULEVARD",10200,137000,134000,9400,127000,124000
5089665.68012972,4035599.9720829,5417,3,51,,SAC,,7.969,,"SACRAMENTO, WATT AVENUE",9400,127000,124000,8700,122000,118000
5089668.65650173,4035679.38465373,5418,3,51,,SAC,,7.969,,"SACRAMENTO, WATT AVENUE",9400,127000,124000,8700,122000,118000
5092375.81906639,4038369.91404957,5419,3,51,,SAC,,8.86,,JCT. RTE. 80 WEST,8700,122000,118000,,,
5092742.10836005,4039066.30307673,5420,3,51,,SAC,,8.86,,JCT. RTE. 80 WEST,8700,122000,118000,,,
4918712.85635364,4149212.56900422,5421,3,5,,COL,R,0,,YOLO/COLUSA COUNTY (COUNTY LINE ROAD ),,,,3100,38000,34000
4918605.62461272,4149218.12378314,5422,3,5,,COL,R,0,,YOLO/COLUSA COUNTY (COUNTY LINE ROAD ),,,,3100,38000,34000
4896880.99450564,4198604.30781898,5423,3,5,,COL,R,10.305,,HAHN ROAD,3100,35000,32500,2600,31500,27500
4896773.23159781,4198606.17592548,5424,3,5,,COL,R,10.305,,HAHN ROAD,3100,35000,32500,2600,31500,27500
4885017.97131573,4225715.89696839,5425,3,5,,COL,R,15.911,,HUSTED ROAD,2550,28500,27500,2600,28500,26000
4885010.20689556,4225557.80574915,5426,3,5,,COL,R,15.911,,HUSTED ROAD,2550,28500,27500,2600,28500,26000
4882414.47061722,4236093.47004522,5427,3,5,,COL,R,17.975,,"WILLIAMS, E STREET",2600,28500,26000,2550,28000,25000
