objectid_1,objectid,statehwy,hov,toll,name2,nm,iyr,ifc,sd,fxnm,txnm,globalid,shape_Length
43,43,1,0,0, ,SR-91,1995,1,0, , ,{29CD8D45-8498-43C5-BF21-70E7D68470B9},20198.382941558444145
44,44,0,0,0, ,ARLINGTON,1995,3,0,MAGNOLIA,INDIANA,{C6CAC8A6-D5C9-4DAA-808D-DAF5A3D7E9D4},3868.045254471664975
45,45,1,0,0, ,I-215,1995,1,0, , ,{F8702B17-B463-444A-BFEE-479EA6427181},25585.833074130361638
46,46,0,0,0, ,HARBOR,1995,3,0,ARBOLITA,WHITTIER,{433C0369-3FB3-4488-935C-AC12B43F0B44},2649.469214076136723
47,47,1,0,0, ,SR-39,1995,2,0, , ,{8DD811FB-8141-489E-B77C-EA9D8F87DE96},9617.797043695118191
48,48,0,0,0, ,ARLINGTON,1995,3,0,VAN BUREN,LA SIERRA,{DE513C89-92CD-4122-A2CE-6F955AB45AF1},14943.760090152190969
49,49,1,0,0, ,I-215,1995,1,0, , ,{172F8B5C-2EBE-4CDA-A9AD-849B3948E64B},1434.547732708254216
50,50,1,0,0, ,I-215,1995,1,0, , ,{11793A95-A9D3-42C3-AE94-149FFFCBE1E2},1629.283947700477256
51,51,1,0,0, ,I-215,1995,1,0, , ,{63669068-1B8F-4B81-B2CC-A9F0D8DFF94D},671.967121056996007
52,52,1,0,0, ,SR-60,1995,1,0, , ,{5B304325-56BC-451E-88F3-33F1B6ED8161},455.983883673972400
53,53,1,0,0, ,SR-60,1995,1,0, , ,{D73590A5-34C8-443D-B56F-4D7C3BD875C2},2450.889667714905045
54,54,1,0,0, ,SR-60,1995,1,0, , ,{043F7034-65A0-462E-BEF6-F969994E80EE},1937.289638699405032
55,55,1,0,0, ,I-215,1995,1,0, , ,{01DE782F-75DC-4143-8CD7-E157D9B31F8A},1258.332965342060106
56,56,1,0,0, ,I-215,1995,1,0, , ,{F887F594-5C64-41AD-8A1C-DD25BF78CF64},1513.643609260456060
57,57,1,0,0, ,SR-60,1995,1,0, , ,{6F02D28E-AE3A-463F-90AE-BCF3578BB7F4},18376.898994123799639
58,58,1,0,0, ,I-10,1995,1,0, , ,{C1139D08-8771-4580-8B22-91C3646380B8},26772.201841908557981
59,59,1,0,0, ,SR-60,1995,1,0, , ,{9BEDD23B-C534-4298-B59E-92650A7C3861},26461.009381257739733
60,60,0,0,0, ,MAGNOLIA,1995,3,0,CANTERBURY,ARLINGTON,{52486BEE-1894-4FA5-8DB2-CBBE31B9C50D},6782.515867908194195
61,61,1,0,0, ,I-10,1995,1,0, , ,{17405B58-523A-480D-AE94-722884689146},2532.528602105686332
62,62,1,0,0, ,SR-39,1995,2,0, , ,{A6AEF836-CDB7-45C4-A146-9E97394F8C2B},5518.620912258780663
63,63,0,0,0, ,LAMBERT,1995,3,0,SR-39,GRAYLING,{AE544DDE-6CED-45CC-B2C2-AA428449C79F},2633.489028720492570
64,64,0,0,0, ,HARBOR,1995,3,0,E LAMBERT,WHITTIER,{4EC42E46-9084-46FD-A8BF-AFDE6828EB04},5285.180985125273764
65,65,0,0,0, ,LAMBERT,1995,3,0,S HARBOR,SR-39,{B5E69CF4-7E45-4D9A-A86D-E1B726EFF019},10573.121903872302937
66,66,1,0,0, ,SR-57,1995,1,0, , ,{A8BC8F56-2739-4860-9957-643206B2942F},8727.262178956947537
67,67,0,0,0, ,LAMBERT,1995,3,0,S HARBOR,COLLEGE,{0DF576E2-4D69-4DAA-A4E0-0CDA80E1FACB},16069.955703222125521
68,68,1,0,0, ,I-10,1995,1,0, , ,{5C099297-BCE6-4571-80F1-43C0455E9C3B},1135.790561455902434
69,69,1,0,0, ,SR-60,1995,1,0, , ,{2AAB6892-E3B5-4F57-BFEF-DC8526DCBA43},1136.215288107930519
70,70,1,0,0, ,SR-60,1995,1,0, , ,{096A56D0-C1B2-4EE1-B703-FC1E830EDEBF},6799.274280241326778
71,71,1,0,0, ,I-10,1995,1,0, , ,{25C75E6C-AAD3-4953-A2A3-94BADF7399FA},1391.193446880379042
72,72,1,0,0, ,SR-60,1995,1,0, , ,{CD507A73-7403-4C9C-AFD4-46446E963287},292.724874742543250
73,73,1,0,0, ,I-10,1995,1,0, , ,{6860F042-0750-492E-B89F-DA6EC5C46DA8},441.386840072505322
74,74,1,0,0, ,SR-60,1995,1,0, , ,{AAFDF59C-D1AA-4E1D-B686-AB4D660CF293},1513.675160612516947
75,75,1,0,0, ,SR-91,1995,1,0, , ,{9A94339B-09C8-493F-900C-4E5A7AC7E4B2},10252.737255755379010
76,76,1,0,0, ,SR-60,1995,1,0, , ,{1FF71C61-F7EC-4C80-BA75-66E65B37CD20},39924.026237240614137
77,77,0,0,0, ,MAGNOLIA,1995,3,0,MONROE,CANTERBURY,{DBAF255A-4ACD-460D-B691-16DB967BEB39},4630.580032698822833
78,78,1,0,0, ,SR-142,1995,2,0, , ,{FAFECAA5-442F-4732-81AB-043A08C2C5B8},687.014668534377165
79,79,0,0,0, ,LAMBERT,1995,3,0,STATE COLLEGE,VALENCIA,{33F2A312-657C-4C74-AE84-A7815D93B4AB},10060.117317919079142
80,80,1,0,0, ,I-215,1995,1,0, , ,{8C506CD1-7A70-4467-B8A3-FA684623396E},4445.739439740247690
81,81,1,0,0, ,I-10,1995,1,0, , ,{AF3C5C6F-1DD6-455C-9C53-EFF7C6AA8707},2017.434470288984585
82,82,1,0,0, ,I-10,1995,1,0, , ,{D738FA97-D08B-4AF9-81E5-1A758D0CD19E},1770.282316063157396
83,83,0,0,0, , ,1995,3,0, , ,{D4A61C8B-502A-4AAB-9C71-B969172C755C},1119.522513845812000
84,84,1,0,0, ,SR-142,1995,2,0, , ,{D79860D9-F5DC-4E4F-8565-AD3FC459AEA8},1176.714763473169114
85,85,1,0,0, ,SR-142,1995,2,0, , ,{6B0E145C-300A-48B7-A371-084FFB30DC1C},23776.837325245393004
86,86,1,0,0, ,I-10,1995,1,0, , ,{5731F208-C986-4773-BDDE-54BDCFC4185C},2561.535729963392896
87,87,1,0,0, ,SR-39,1995,2,0, , ,{4CE979D0-77E9-4191-85AD-4C5922543AA9},2651.297432476306767
88,88,0,0,0, ,SR-90,1995,3,0,SPRING MEADOW,SR-39,{88300987-5F5E-4D0A-8A33-31DB64E02A0F},2596.082983744033754
89,89,0,0,0, ,HARBOR,1995,3,0,E BASTANCHURY,E LAMBERT,{FE5635EC-1E64-4DDE-B190-772269CB5A13},2626.335851808640200
90,90,1,0,0, ,SR-90,1995,2,0, , ,{6FAD1FC1-74A6-4ECD-9EB7-CB1BBC8203EF},10603.518795957228576
91,91,1,0,0, ,SR-90,1995,2,0, , ,{71103925-23D5-4DE7-BACA-6350758218BB},10024.470740112999920
92,92,0,0,0, ,MAGNOLIA,1995,3,0,VAN BUREN,VAN BURREN,{4BCA54AB-0CF5-4165-98B3-A997AAB7760C},5535.188939840503735
93,93,0,0,0, ,VAN BURREN,1995,3,0,MAGNOLIA,ARLINGTON,{D03C438D-5427-4B4A-B6E7-CE594BBAB756},9997.142088889671868
94,94,1,0,0, ,I-10,1995,1,0, , ,{363C31E9-F561-4A87-8E92-9ACC40A170AC},27903.475272487659822
95,95,1,0,0, ,I-10,1995,1,0, , ,{22E0E039-F0A3-4390-8939-6593FC76FFE1},18896.057849734090269
96,96,1,0,0, ,SR-90,1995,2,0, , ,{CB5ABE97-FCE7-4255-A52E-B88F4A1AB056},4119.145647478489991
97,97,1,0,0, ,SR-111,1995,2,0, , ,{7BB8665A-B491-4867-AA34-E264C6550621},17458.969992848407855
98,98,1,0,0, ,SR-39,1995,2,0, , ,{CCF2739C-4B06-4939-ACE5-E2F349A9D577},3820.430196531091042
99,99,1,0,0, ,SR-90,1995,2,0, , ,{F8286EAE-E158-4495-A1F9-469B31D2BA65},5937.104424082265723
100,100,1,0,0, ,SR-57,1995,1,0, , ,{34F89220-D0C8-4026-95C5-FC8A1ACB8964},5512.509460454841246
101,101,1,0,0, ,SR-90,1995,2,0, , ,{C01B0DFA-30E1-43E8-A021-BE34E5EE2DCE},1432.797103737654197
102,102,1,0,0, ,SR-79,1995,2,0, , ,{791A287B-1436-4C53-A846-7184472C7F23},3107.552149874483348
103,103,1,0,0, ,SR-91,1995,1,0, , ,{C0C4F176-2C01-4622-BBAB-AB049AEB9802},9664.474285011758184
104,104,0,0,0, ,VAN BUREN,1995,3,0,INDIANA,MAGNOLIA,{FD80B8C5-7DFA-4A14-BA59-E89D138683AB},2446.509597476466752
105,105,1,0,0, ,SR-142,1995,2,0, , ,{9896FAC2-2197-43C8-AEEA-15BB8A313BB9},4479.524532315230317
106,106,1,0,0, ,SR-90,1995,2,0, , ,{4312BC5B-4BCD-4356-AA15-CA9A0829960C},3637.692915493443252
107,107,1,0,0, ,I-10,1995,1,0, , ,{D80436B9-D2AB-4AF3-9F92-E4EF247724D1},46446.824531416474201
108,108,1,0,0, ,SR-62,1995,2,0, , ,{DBA294A6-804F-47E4-A1F7-165201D07464},46226.745068041229388
109,109,1,0,0, ,I-10,1995,1,0, , ,{797A4092-BF40-41A3-8B9A-2D09B05A5D0C},23305.889860885021335
110,110,1,0,0, ,I-215,1995,1,0, , ,{7369F110-F0DC-4D04-BB25-E74D5457923B},7621.464302595468325
111,111,1,0,0, ,SR-90,1995,2,0, , ,{CE6A931A-E942-481F-B883-60B28C9BF2B8},3685.211458337834756
112,112,0,0,0, ,CACTUS,1995,3,0,RIVERSIDE,INNOVATION,{6BF67EFC-7D3F-46D8-A586-3410A14DF508},8561.511614243014265
113,113,1,0,0, ,SR-243,1995,2,0, , ,{7F4AE126-4553-43EA-89BE-96DFA03E6557},7694.751833460838498
114,114,0,0,0, ,BREA,1995,3,0,E BASTANCHURY,SR-90,{61EA0EF5-BF64-490E-A84F-A9922A10A9CB},6773.397464940011560
115,115,0,0,0, ,STATE COLLEGE,1995,3,0,E BASTANCHURY,SR-90,{44B485CF-0774-4F1F-913F-D0F6F45148E2},5332.848303391163427
116,116,0,0,0, ,BASTANCHURY,1995,3,0,STATE COLLEGE,BREA,{1D2EF97F-A63B-4D98-8D23-F07CEE79F9E4},5398.847032683814177
117,117,0,0,0, ,BASTANCHURY,1995,3,0,HARBOR,BREA,{C0655741-5941-4248-B548-2D18A968A0ED},6482.736365720091271
118,118,0,0,0, ,HARBOR,1995,3,0,E BASTANCHURY,SR-90,{42F60447-AED3-45D5-B19E-853857D6275D},8095.238873441190663
119,119,0,0,0, ,ROSECRANS,1995,3,0,EUCLID,SR-39,{7498CE14-DF99-431F-B797-850F6C9FD54B},13414.939063962212458
120,120,0,0,0, ,MAGNOLIA,1995,3,0,MERCED,VAN BUREN,{8CBE13CD-FFF1-4038-ACF2-AA87A3B7FD5C},15184.673575160619293
121,121,1,0,0, ,SR-91,1995,1,0, , ,{2267E001-0A3B-4C1D-BD8F-8FACA5958010},15603.765377102943603
122,122,0,0,0, ,BASTANCHURY,1995,3,0,EUCLID,HARBOR,{3949EB18-FA77-4338-826D-A6A26134E9FA},4937.016359995734092
123,123,1,0,0, ,SR-57,1995,1,0, , ,{E67AACE0-7C0B-472A-99A1-E83B07AC2C2C},7990.310910514363059
124,124,1,0,0, ,SR-111,1995,2,0, , ,{0A9E8C81-D49D-4672-84AB-8FFCDFF290CA},2337.768993390433479
125,125,1,0,0, ,SR-111,1995,2,0, , ,{8219E854-230D-483B-BFA1-1E6C7C83EDC2},3149.582802396000261
126,126,0,0,0, ,YORBA LINDA,1995,3,0,OXFORD,STATE COLLEGE,{C64E320C-C2AA-4BB0-B471-92A474D37674},2885.251928593764205
127,127,0,0,0, ,STATE COLLEGE,1995,3,0,YORBA LINDA,E BASTANCHURY,{2401C142-6CA4-4FC9-ACA4-2AB8CB41AD33},3757.653687800097032
128,128,0,0,0, ,ROSE,1995,3,0,YORBA LINDA,SR-90,{08F2DCB8-0C7B-4E17-B5B7-6F3E409C56F1},5803.472556275433817
129,129,1,0,0, ,SR-90,1995,2,0, , ,{C0BA809A-1C39-49AB-A6A4-7888769A0B3E},10566.710688836908957
130,130,0,0,0, ,YORBA LINDA,1995,3,0,SR-90,ROSE,{CB03A24D-BD4D-4D66-94CB-41EB7E8B668F},8645.954876183777742
131,131,0,0,0, ,YORBA LINDA,1995,3,0,LAKEVIEW,SR-90,{5EB3FF2C-C624-470B-8033-C17CBCC34911},595.996021530093458
132,132,0,0,0, ,YORBA LINDA,1995,3,0,ROSE,KRAEMER,{A42E7C80-20B4-47F4-9213-9B08B833851E},6753.204287472633951
133,133,0,0,0, ,KRAEMER,1995,3,0,YORBA LINDA,SR-90,{D9E78770-8A17-4134-A6F9-CBDB5952BFD2},8440.901355853860878
134,134,0,0,0, ,YORBA LINDA,1995,3,0,KRAEMER,ASSOCIATED,{E014460E-6AF7-4F04-B346-E5F1BD2631A4},5287.394459559956886
135,135,0,0,0, ,LAKEVIEW,1995,3,0,SHADY KNOLL,YORBA LINDA,{E089B734-7E67-4089-9BC0-4BDEC43EB405},667.210194290914615
136,136,1,0,0, ,SR-90,1995,2,0, , ,{FBD69D56-7751-4731-8DC6-CB8F52A2152D},501.895786230519548
137,137,1,0,0, ,SR-39,1995,2,0, , ,{A7192D26-CEF3-4527-AD1B-492605837D0B},4905.314364287713943
138,138,0,0,0, ,BREA,1995,3,0,HARBOR,E BASTANCHURY,{F2F2A08A-8ABB-46E0-8587-1D0A253F7D80},7896.903897883546051
139,139,0,0,0, ,HARBOR,1995,3,0,BREA,E BASTANCHURY,{E783185F-EB93-4425-A2AB-7C0C4E71A91D},4770.530802396043327
